content,replies,retweets,favorites,date
"Uganda has warned that anyone who wears a red beret could be prosecuted under military law and sent to prison for life.

This week also saw the leaders of South Africa and Nigeria meet in solidarity against Xenophobia. 

Africa Essayist Veli Mbele joins us on #NewzWorld",,6,13,Oct-04
"Xenophobia: 45 Imo minors return from South Africa.

Imo State government on Friday received 45 minors out of 91 indigenes of the state who returned from South Africa following the Xenophobic attack on Nigerians in that country. 
#Thread",2,20,27,Oct-06
"Xenophobia: Nigeria, South Africa to set up committee on compensation — in pictures ",3,11,8,Oct-03
"Xenophobia: South Africa, Nigeria mend relations, sign 30 trade deals ",3,5,12,Oct-03
"Xenophobia: Garba Shehu Outlines ‘Key Takeaways’ From Buhari’s Visit To South Africa

""Let us, therefore, give peace a chance and pray we have seen the last of this ugly violence.""
https://www.channelstv.com/2019/10/05/xenophobia-garba-shehu-outlines-key-takeaways-from-buharis-visit-to-south-africa/ …",3,10,46,Oct-05
"Xenophobia: Buhari’s visit to South Africa an insult to Nigerians – Fani-Kayode

ME: No it's not. 
The President is a going because he cares about his people. 
A lot of negotiations will happen and the 2 Countries will be better.",5,10,64,Oct-02
"There is a difference between Julius Malema and Bobi Wine. Julius Malema spike on the Burundi Crisis, everybody who follows knows his plan for South Africa. He speaks on different crisis of his country like the Xenophobia incident. Has Bobi Wine done anything similar?",5,1,6,Oct-09
"VIDEO: Nigeria, South Africa establish ‘early warning system’ to curb xenophobia
",2,8,32,Oct-03
"XENOPHOBIA RESOLUTION: Nigeria and South Africa sign 10-year visa agreement to businessmen, academics .

The decision was a follow-up to the successful conclusion of the 9th Bi-National Commission of South Africa and Nigeria meeting in Pretoria, South Africa.",3,8,17,Oct-04
South Africa President @CyrilRamaphosa will miss 2019 UN General Assembly. His Office said he is at home to attend to d implementation of govt measures on gender issues. Good answer. He avoided UN bcos of XENOPHOBIA and embarrassment he will suffer like what happened in Zimbabwe ,19,51,119,Sep-23
"During xenophobia attacks in #Southafrica some Shoprite stores were targeted in retaliation in Africa, I was asked if Zim Shoprite was ok.said we have Spar Pick n Pay + Food lovers. She says ‘wow, Zimbabweans are rich.´didn’t get it until I realised those shops in SA r not cheap",3,3,9,Oct-10
"Finally Mr integrity president @MBuhari  returned to Nigeria, after visiting South Africa over xenophobia attack.

You are highly welcome Mr president ",,3,12,Oct-04
"President Buhari is visiting South Africa at a time when the relationship between the two economies is strained. #Xenophobia, particularly, is a distraction from the leadership role that Nigeria and South Africa should play on the continent ",1,4,4,Oct-04
"Let's not forget to add the Muslim Holocaust going on in China, the xenophobia in South Africa, and terrorists attacks in every pocket of the globe.

Tiring.",2,13,5,Oct-07
"Xenophobia: Ihedioha constitutes committee to resettle South Africa returnees
",3,13,41,Oct-03
Xenophobia: Imo governor constitutes committee to resettle South Africa returnees ,,8,5,Oct-04
"Xenophobia: Buhari’s visit to South Africa an insult to Nigerians – Fani-Kayode

ME: No it's not. 
The President is a going because he cares about his people. 
A lot of negotiations will happen and the 2 Countries will be better.",,1,7,Oct-02
"XENOPHOBIA:
 South Africa returnees receive N100,000 cash gift from Ondo governor

Tribunal dismisses Petition Against PDP",1,4,10,Oct-06
"Let's protest against the killing in #Kaoma like we protested #Xenophobia of South Africa a few weeks ago. 
We have something that directly affects us here
#Zambia",,9,18,Oct-07
South Africa xenophobia an 'embarrassment' to Africa https://www.bbc.com/news/live/world-africa-47639452?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=5d9758389ba95b0673a8734d%26South%20Africa%20xenophobia%20an%20%27embarrassment%27%20to%20Africa%262019-10-04T14%3A51%3A44.213Z&ns_fee=0&pinned_post_locator=urn:asset:0c825a4b-09b6-4f69-997c-ae84fe799cd8&pinned_post_asset_id=5d9758389ba95b0673a8734d&pinned_post_type=share … via @BBCNews,1,6,10,Oct-05
@GenBheki_Cele  @NotBhekiCele @SAPoliceService and when we act it’s called Xenophobia hayi khona South Africa is something else shame and you offices are part to it,,2,5,Sep-27
"I have long stopped caring about the xenophobia tag. It doesn't bother me because I know its false.
Everyone who raises concerns about immigration in South Africa is falsely called xenophobic",1,3,18,Oct-09
‘It is important for us to make the connections between queer struggles and the decriminalisation of sex work in South Africa. It is my hope that we see the links between forces of Afrophobia (that is often called xenophobia) in South Africa’  http://queerconsciousness.com/celebrating-30-years-of-johannesburg-pride/ …,,1,4,Oct-13
"The same people will go out to attack shoprite in the name of opposition to xenophobia in South Africa, while they hold xenophobic feelings against their fellow Nigerians ",,15,25,Oct-16
i don’t blame burna boy for not wanting to come to south africa. this xenophobia is disgusting and inhumane. i’m embarrassed that this is still happening and i’m even more ashamed that this started in the first place,,2,12,Sep-28
Did @MBuhari visit to South Africa a betrayal to Nigeria who were attacked and killed given that xenophobia always reocurrs; for more;   https://diplomasianews.com/post/buhari-flies-to-south-africa-after-xenophobic-violence …  #LikoniFerryAccident #KOTLoyalsOnly  #KOTLoyals,,3,14,Oct-04
Xenophobia: Here's the full text of President Buhari's speech in South Africa https://www.lindaikejisblog.com/2019/10/xenophobia-heres-the-full-text-of-president-buharis-speech-in-south-africa.html …,1,3,11,Oct-04
"#Xenophobia: Nigeria, South Africa sign Agreement #BuhariRamaphosaMeeting",1,2,12,Oct-03
"President Muhammadu Buhari has urged Nigerians living in South Africa to be of good behavior..(WATCH)

#ScooperNigeria #Buhari #Xenophobia #Tiwa 

Scooper is the Best News in Africa",,2,3,Oct-04
This movie is a academic project of  our correspondent student based in South Africa @Busolabliss it shows the negative influence of xenophobia and the solution to the crises. Click the link below to watch ,,3,15,Oct-07
"In this special newsletter, we present highlights from our media engagements in August-September in the wake of xenophobic violence that has affected several parts of South Africa and our new Xenophobia Resources page - https://mailchi.mp/3960d629a4c0/acms-special-newsletter-september-1380745 …",,6,7,Oct-04
"Nywe Nywe Xenophoba Xenophobia, South Africans are jealous of Nigerians in South Africa, Yini le? ",,1,10,Oct-02
"Xenophobes Have No Place in Africa – Museveni
#ChimpReportsNews #UgandaNews #Uganda #Featured #IndependenceDay @KagutaMuseveni #UgandaAt57 #Xenophobia @edmnangagwa #Zimbabwe #SouthAfrica #Africa #Thursday #ThursdayMotivation #ThursdayThoughts #News",3,7,15,Oct-10
"It’s why black men fight against racism and white supremacy but justify oppressing black women, gays, and trans men. 

Also why black South Africans fought apartheid and slavery, but will justify xenophobia against African immigrants in South Africa.",1,19,29,Oct-07
"Afrophobia is in the roots of South Africa. We have this disgusting perception that we are the top tier of Africa. Mind I said Afro and not Xenophobia, we have no problem opening our arms for foreigners from Europe, US ,etc...but once they are from Africa ,it’s different.",1,9,34,Oct-14
Xenophobia: What Buhari told Nigerians in South Africa on Friday https://dailypost.ng/2019/10/04/xenophobia-buhari-told-nigerians-south-africa-friday/ …,,4,9,Oct-04
"Oyo State Governor, Engineer Seyi Makinde, has expressed readiness to support Indigenes of the state who were affected by Xenophobia in South Africa.

He made the expression when he received 32 Indigenes of the state of behalf of the State Governor,...... https://oyoaffairs.net/governor-makinde-expresses-readiness-to-support-south-africa-returnees/ …",,12,39,Oct-02
"On xenophobia, Afrophobia, immigration, South Africa and Cameroon 

Are you safe? Please stay safe via @africasacountry",,3,6,Oct-14
"South Africa Xenophobia: Relocate Us, We Don't Feel Safe, Say Hundreds Of Foreigners | Sahara Reporters http://bit.ly/2IVYWdG ",,7,18,Oct-16
"Mama Diaspora and Chairman /CEO Nigerians in Diaspora Commission, Abike Dabiri-Erewa @abikedabiri speaks on the attacks on Nigerians in South Africa. ""These attacks will be a thing of the past."" She says.
#PMBinSA #NigeriaInSA to end #XenophobiaInSouthAfrica #Xenophobia ",,9,41,Oct-05
"A cross section of Nigerians - igbos, yorubas, edos, etc, with President Buhari in Johannesburg, South Africa. 

#xenophobia #XenophobicAttacks #Buhariinsouthafrica #NigeriaVsSouthAfrica 
#Ibadan
#IbadanMedia",,4,7,Oct-05
"OBJ: South Africa is addressing xenophobia, I hope returnees will go back | TheCable https://www.thecable.ng/obj-south-africa-is-addressing-xenophobia-i-hope-returnees-will-go-back/amp …",1,6,19,Sep-29
"#NigeriaInSA
Wait have African leaders apologized to South African police services on behalf of their citizens who attacked saps officials In down town last month..let me gues nahh..kwaa then our president must apologize to African leaders for xenophobia..Wake up south Africa ",,2,4,Oct-03
"3.6 Billion spent voting for BBNaija 

This is financial #Xenophobia from @NigeriaGov to @SouthAfrica

#OurMumuNeverDo TM @adeyanjudeji 

C.c
@henryshield
@DrJoeAbah
@Mr_Allwell
@akinalabi
@cbngov_akin1
@segalink
@Tweetestboi_ph
@Fortunate4tun
@mttw_page",5,5,10,Oct-06
I'm still trying to solve the arithmetic behind this meetings and wondering how #NigeriaInSA will fix #Xenophobia in #SouthAfrica. Did they even know what led to the attack? SA should be having this meeting with their whites to give jobs to their blacks. #Nigeria,9,19,37,Oct-03
South Africa is a NO go zone to foreigners. Employ your own. Have you forgotten xenophobia?  ,2,6,17,Oct-16
"Thoughts on xenophobia from a South African in Mozambique: On Mozambican TV, South Africa is divided between the people of good will with their pots of rice, and the people of Goodwill with their knobkieries and pangas. By @drjustinpearce 
#Rewind #Archive",,8,10,Oct-15
"""In what language does rain fall over tormented cities?” An essay on trauma, on healing, on the role of schools in my hood. A must read for anyone interested in #xenophobia in South Africa.

",,3,4,Oct-06
Cabanga Magazine | October 2019 Issue | Swam Intelligence: The Consumer Behaviour behind Ubuntu and Xenophobia in South Africa | Download free e-copy http://www.cabangamag.co.za/swarm ,,4,3,Oct-02
Ideology and xenophobia in South Africa by @carolyneholmes,,3,6,Oct-03
Achille Mbembe's Ruth First lecture in full. https://www.newframe.com/ruth-first-memorial-lecture-2019-achille-mbembe/ … #SouthAfrica #xenophobia #borders,,1,4,Oct-04
What’s Behind the Deadly Violence in South Africa? Sharp analysis by @lorenlandau that pinpoints the complexity of post-war violence and its particular urban manifestation in SA #conflicturbanism #xenophobia #latepostButStillRelevant,,2,5,Oct-15
"Amid Nigeria and South Africa seeking ways to end Xenophobia in the latter’s country, the Nigerian community in South Africa has confirmed the killing of one of its members, Ikenna Innocent Otugo.  
#Dailytrust #Nigeria @MBuhari @CyrilRamaphosa",2,5,6,Oct-16
"H.E @GovUmarGanduje in South Africa with President @MBuhari and other dignitaries during the 3days official visit by President Muhammadu Buhari to discuss xenophobia and other mutually beneficial policies between Nigeria and South Africa. 

 @BayoOmoboriowo",1,3,11,Oct-04
"ADOS LOVE all Non-ADOS. What is happening in South Africa is an example of real xenophobia. Whats happening to those innocent people is horrible. I have never seen any ADOS in the United States do this ever. ADOS only want reparations period.

",1,7,9,Oct-16
"International news: South Africa and xenophobia

",,2,2,Oct-15
"Well @CyrilRamaphosa it don't APPLY to whites as you have BBBEEE so bringing in foreigners to take top jobs is a time bomb for #xenophobia #SouthAfrica 
When imagrants become more important than loacal welcome China ",2,7,12,Oct-15
"Assuming this was in @SouthAfrica everyone would have been shouting #Xenophobia but look at the real #Phobia and #Xeno in Nigeria by Nigerians. If you haven't been in d ghetto or on d street in Nigeria, you won't understand d pains young people suffer each day from police.",1,8,39,Oct-14
"'Xenophobia in #SouthAfrica while @_AfricanUnion members had made progress with #AfCFTA shows dissonance between the post-colonial African state & the society.. this has implications for regional stability' - @FemiMimiko #MimikoSeminar @OAU_FSS, @OAUniversity",2,4,18,Oct-11
"""Baba, you seem to be shedding out your toga of “do or die” affair polity, and the Tortoise’s insignia. Your disposition and statements so far on xenophobia were very continental and statesmanlike."" https://guardian.ng/opinion/kudos-to-obasanjo/?utm_medium=Social&echobox=twitter_post&utm_source=Twitter#Echobox=1570691811 … #Nigeria #Obasanjo #Xenophobia #SouthAfrica",,2,17,Oct-10
"This show would not fly in South  Africa. Why do we allow it here!!
#BobHeartsAbishola #xenophobia #CancelBobHeartsAbishola",,14,30,Oct-09
"When was black unity? As a group only black Americans practiced black first. Have you been to the continent lately? I've been to over 20 countries in Africa, the Xenophobia is crazy. South Africa, Zambia, Zimbabwe, Botswana, Namibia I was there a month ago
",1,3,7,Oct-09
"@PanasheChig argues that across virtually all the parties, leaders have stoked anti-immigrant sentiment for political gain.

#SouthAfrica #Xenophobia #Afrophobia",1,4,6,Oct-08
"Registration is now open for our October webinar on #Xenophobia and African integration, featuring Seyi Gesinde (@GhesheS) of @nigeriantribune and Sara Gon of the @IRR_SouthAfrica.

Limited spots are available.

#XenophobiaTalk #AfricanLibertyWebinar

https://www.africanliberty.org/webinar-series/ ",,7,9,Oct-04
PHOTOS: His Excellency Dr Abdullahi Umar Ganduje OFR in South Africa with President Muhammadu Buhari and other dignitaries during the 3days official visit by President Buhari to discuss xenophobia and other mutually beneficial policies between Nigeria and South Africa.@dawisu,,2,11,Oct-04
"African creatives are becoming a force to reckon with. How should the U.S. navigate this space? I talk with @bits_of_borno, @CrudoVoltaRadio, and @GreenSimms. Plus, #SouthAfrica xenophobia and the Pope’s visit. Please subscribe, share, and rate! ",,7,9,Oct-03
Xenophobia:  ''South Africa is still wet with the blood of your children and you are there smiling and receiving flowers'' Yomi Fabiyi tackles President Buhari https://www.lindaikejisblog.com/2019/10/xenophobia-south-africa-is-still-wet-with-the-blood-of-your-children-and-you-are-there-smiling-and-receiving-flowers-yomi-fabiyi-tackles-president-buhari.html …,2,3,9,Oct-03
"President Buhari Departs For South Africa With 3 Governors For A 3-Day Visit (Photos)

Click: https://naijaloveinfo.com/president-buhari-departs-for-south-africa-with-3-governors-for-a-3-day-visit-photos/ …

#NigeriaAt59 #October1st #IndependenceDay #naijaat59 #WeAre59 #GoogleDoodle #Nigeria #SouthAfrica #Xenophobia #xenophobiaattack #xenophobiainsouthafrica",3,4,3,Oct-02
"Went on @globaljourn to discuss xenophobia in South Africa along with @DanielDunia, @dewamavhinga , and Alice Wamundiya. Watch it here https://m.youtube.com/watch?v=zeHLB_zXs1Y … #SouthAfrica #SayNoToXenophobia @mgfindley @uclspp",,2,8,Sep-27
"#Xenophobia: ""This was not the first time Nigerians have been victims of violence in #SouthAfrica, but it was the first time Nigeria’s federal government took any kind of action beyond the usual condemnations."" 

What changed: 

",,2,1,Sep-26
Recent xenophobic attacks in #SouthAfrica have left 12 dead and hundreds displaced from their homes. Is there a root cause of this violence? @lorenlandau from @ACMSWits explains: http://ow.ly/oKrs50wganY  #xenophobia #migration,1,3,2,Sep-23
"#Xenophobia 
Nigerians in South Africa thank Chief Allen Onyema and Hon Abike-Dabiri-Erewa.

Nigerians resident in Western Cape have praised chairman of Air Peace, Chief A. Onyema, for the evacuation of over 500 stranded Nigerians following the xenophobic attacks in South Africa. ",12,43,135,Sep-22
"South African minister calls for tighter controls on immigration. He says it is not acceptable for people to destroy their own countries, then move to another country.
So then, why do we allow it? 

South Africa xenophobia: Africa needs 'managed migration' ",4,28,38,Sep-22
"Why is it that this so-called ""xenophobia"" occurs among the dispossessed,

It never happens among Portuguese, Greeks, Jews, Boers, British, Boers, etc

South Africa has a problem of ""xenophobia""

Its a simple question",7,26,43,Sep-21
South Africa xenophobia: Africa needs 'managed migration' https://bbc.in/30FGEn8 ,27,56,161,Sep-21
"315 Nigerians evacuated South Africa and arrived Murtala Muhammed Airport in Lagos State on September 18th. It is the second batch after the first batch of 187 Nigerians, who have left South Africa on the free Air Peace flight over xenophobia. ",17,30,163,Sep-20
I think the FBI needs to ask 6ix9ine who started the Xenophobia attacks in South Africa,9,31,210,Sep-20
Hah! Xenophobia! You are all ungrateful for the 100 and 15 billion twenty thousand that Nigeria paid to South Africa 16 million and twenty 18 hundred years ago. And for the airtime that Nigerians buy from MTN on the daily. And for the football matches watched on DSTV. Stop it!,49,7,85,Sep-20
"#NolubabaloNobanda is a classic case of the xenophobia that South Africa has.

They're celebrating their own drug dealer and are willing to kill a Nigerian business owner using drugs as an excuse for soubg such. There's no better drug dealer... They're all the same. Listen ",14,29,73,Sep-19
Selling drugs to destroy children of another country is extreme Xenophobia on its own. South Africa deserves a huge apology!,2,15,31,Sep-19
"House of Representatives honours @flyairpeace CEO/Chairman, Allen Onyema over Xenophobia rescue efforts in South-Africa

https://www.facebook.com/pg/flyairpeace/posts/ …

#BetterDealWithAirPeace
http://www.flyairpeace.com ",8,15,75,Sep-19
"SSA to Governor Sanwo-Olu on Diaspora & Foreign Relations, @JermainSanwoolu explaining the efforts of the Governor on Nigerians returning from South Africa while @nidcom_gov boss, @abikedabiri thanked @jidesanwoolu for his efforts, asks other Govs to emulate him.  #Xenophobia ",,11,55,Sep-19
"Chairman/CEO, Nigerians In Diaspora Commission, Hon Abike Dabiri-Erewa, addresses newsmen after receiving the Second batch of Nigerian returnees from South Africa over the Xenophobic attacks.

#XenophobicAttacks #XenophobicAttack 
#Xenophobia ",3,40,80,Sep-18
Nigerian children who were also victims of xenophobia in South Africa arrived the country with parents on Wednesday September 18. It was a touching moment as many of the children were seeing their country for the first time. @abikedabiri  @NGRPresident #XenophobicAttacks,8,15,113,Sep-18
"UPDATE: Chairman NIDCOM @abikedabiri received 2nd batch of Nigerians that arrived from South Africa tonight. 

Also, SSA to Gov. Sanwoolu on Diaspora & Foreign Relations @JermainSanwoolu was also present to hand over welcome home cash token courtesy Lagos State Govt. #Xenophobia ",2,22,65,Sep-18
"FLASH: @nidcom_gov Boss, @abikedabiri receives the 2nd batch of Nigerians tonight from South Africa after the #XenophobicAttacks #Xenophobia ",2,55,139,Sep-18
"Xenophobia: Second Batch Of Nigerians Depart South Africa.
https://www.channelstv.com/2019/09/18/xenophobia-second-batch-of-nigerians-depart-south-africa/ …",3,16,105,Sep-18
"Xenophobia: Air Peace Plane Leaves For South Africa At Midnight

""...The South Africans got back to us and said, don’t come in now.""
https://www.channelstv.com/2019/09/17/xenophobia-air-peace-plane-leaves-for-south-africa-at-midnight/ …",7,8,77,Sep-17
"Do Kenyans sit down & ask themselves how we got here especially the Bantu?

The Congo Migration which you've given a feel good name was triggered by the GREAT SCATTERING of South Africa.

We were kicked out of South Africa by the Zulu & Shona.

Xenophobia has always been there.",9,15,32,Sep-17
"Cyril Ramaphosa apologized to our brothers and sisters for ""criminal attacks"" what he referred to as xenophobia , that took place in South Africa recently but he never apologized to the Marikana Widows for the killings he ""initiated, was part of.""

This man is a living legend. ",110,288,619,Sep-17
"“Xenophobia will make investment in South Africa more difficult, which will lead to lack of job creation and loss of existing jobs.” #Nigeria",4,28,86,Sep-16
"A hero in Igbo-land, Allen Onyema saved the lives of Nigerians from ""Xenophobia attacks in South Africa.

Time to patronize Air Peace. #PatronizeAirPeace  

https://www.facebook.com/NKNistoranTeam/videos/383842128963647/ …",5,123,63,Sep-16
"Xenophobia is shaping the political moment, from #Trump to #Brexit and even more sadly in places like South Africa. A short explainer I made with @bbcideas on the importance of the issue and why we should avoid confusing xenophobia with racism ",5,39,73,Sep-16
"Xenophobia: Buhari Pledges ‘Solidified’ Nigeria-South Africa Ties As Ramaphosa Apologises

The President described the attacks on Nigerians and other victims as “very unfortunate.”
https://www.channelstv.com/2019/09/16/xenophobia-buhari-pledges-solidified-nigeria-south-africa-ties-as-ramaphosa-apologises/ …",32,22,93,Sep-16
"Xenophobia: Obasanjo Asks Nigeria, Others To Report South Africa To AU

""Repatriation of Nigerians from South Africa is obviously not a permanent solution.""
https://www.channelstv.com/2019/09/16/xenophobia-obasanjo-asks-nigeria-others-to-report-south-africa-to-au/ …",10,35,118,Sep-16
"#Xenophobia: South Africa Does Not Deserve To Be One Of Africa’s Leaders, Says Obasanjo | Sahara Reporters 
Obasanjo had also sent a letter to Ramaphosa and President of the Inkatha Freedom Party, Prince Mangosuthu Buthelezi, condemning the...READ MORE: http://bit.ly/2I9LgeG ",16,41,106,Sep-16
"Envoy from #SouthAfrica came to apologize and you are still smiling and taking photos with them? . Photogenic Bubu.

Who #Xenophobic apology help. #Xenophobia #Nigeria",56,57,169,Sep-16
"#Nigerians Where ever nigerians go all over the world,all they do is commit crime everywhere , in south africa they kidnap and prostitute south african girls , when our people stand up we are accused of xenophobia , while there in no SA in nigeria prostituting nigerian girls.",36,40,121,Sep-16
"Despite the Xenophobia in South Africa,they still can't Love MERCY LESS...... #nomercynobbnaija
#MercilessNation #Gangmercy #Myvoteisformercy
#BBNaija #BBNaija2019  #MercyUnlimited #",11,24,153,Sep-16
"#Xenophobia: South Africa apologises to Nigeria, over 50 suspected looters, arsonists so far apprehended, South African Special Envoy, Jeff Radebe, tells President @MBuhari today at the State House, Abuja.",71,148,518,Sep-16
"#Xenophobia; President @MBuhari this afternoon, received Mr. Jett Radebe a Special Envoy from President @CyrilRamaphosa of South Africa at the Presidential Villa, Abuja. ",49,157,528,Sep-16
My new piece in @nytimes highlighting the role of local 'gangster' governance in South Africa's #xenophobia. A challenge to govts & activists to move beyond debates on attitudes and immigration policy. ,5,41,71,Sep-16
"#Xenophobia: Ex-Niger Delta Militants Vow To Storm South Africa | Sahara Reporters
He said that over 2,000 Coast Guard officers and 10,000 ex-militants were on standby to invade South Africa if the situation degenerated to war.
READ MORE: http://bit.ly/2Ia2F76 ",69,45,105,Sep-16
"#mondaythoughts 

“South Africa is a nation in full scream” 

Thank you @IOL for publishing this thought piece by Professor Sipho Seepe and myself 

#xenophobia #Ramaphosa #judiciary #PublicProtector 
https://www.iol.co.za/news/opinion/sa-is-a-nation-in-full-scream-33062431 … #MondayMotivation",5,43,76,Sep-16
"Xenophobia: FG to evacuate 319 from South Africa Tuesday
",12,119,454,Sep-15
"#FakeNews #FakeNews 
#Xenophobia in #SA has shocked many ... yes 
But all the news claiming #Kagame advocating for exclusion of South Africa at #AU level is #FakeNews. #Rwanda position is always & firmly about union not disintegration. This #ParfaitFolly is another online trash pic.twitter.com/Aw7mMKJpdw",13,53,111,Sep-15
"South Africans says no more xenophobia, rally to apologise to
""foreigners"" who have been victims of xenophobia in South Africa. #SayNoToXenophobia",18,29,134,Sep-15
"Every nation deports migrants and nobody makes an issue of it. However as soon as South Africa deports, everyone cries xenophobia!
What nonsense is that?
Africa is taking advantage of SA because we have weak leaders who are cowards.
#RamaphosaMustFall 
#MugabeFuneral 
#Xenophobia ",36,64,83,Sep-15
Now the stadium Cheers @CyrilRamaphosa President of South Africa after he apologized on the Xenophobia turns Jeers  into cheers as said by @SihleSays. #RobertMugabe,7,18,23,Sep-14
"Just about now in South Africa, this two boys,Nigeria we came I see that is how we then it is of is at there don't went after clothes is of market that and police at johnsburg road by market, with is can xenophobia even succinctly, pls God have mercy  ",599,130,375,Sep-14
President of south Africa is booed at Robert Mugabe funeral! Protest for #Xenophobia happening in south Africa #RIPRobertMugabe,10,36,188,Sep-14
"Xenophobia: South Africa may place 10-year travel ban on evacuated Nigerians
http://bit.ly/2lM75J7 ",110,125,340,Sep-13
"I won't stop shouting this! 
The killings in Rivers of Blood is several times bigger than that South Africa's xenophobia  ",7,26,37,Sep-13
"Bruh, what did Nigerians do to the world? 

Nigerians become successful in South Africa and South Africans use xenophobia to intimidate us. 

Now African-Americans are angry that we're doing well in HBCUs",5,48,71,Sep-13
